time_s,var1,var2,var3,var4,var5,var6,var7,var8
0.85000,75.4235,-40.7044,-48.3255,60.7559,87.3924,-67.5241,24.7854,-58.0730
0.85417,75.4938,-40.7680,-48.3554,60.8479,87.4018,-67.5244,24.7788,-57.9402
0.85833,75.5905,-40.8979,-48.3001,60.9941,87.3914,-67.5245,24.7780,-57.7693
0.86250,75.6624,-40.8939,-48.2909,61.3490,87.3497,-67.5239,24.7852,-57.3923
0.86667,75.7215,-40.9941,-48.3459,61.5317,87.3923,-67.5239,24.7865,-57.1894
0.87083,75.8361,-41.0776,-48.2965,61.6394,87.3410,-67.5240,24.7807,-57.0484
0.87500,75.9241,-41.1431,-48.2787,61.7857,87.3156,-67.5240,24.7813,-56.8710
0.87917,76.0011,-41.1958,-48.3018,61.9744,87.3084,-67.5238,24.7788,-56.6643
0.88333,76.0839,-41.2244,-48.2819,62.3431,87.2938,-67.5236,24.7846,-56.2516
0.88750,76.1772,-41.2758,-48.2774,62.4185,87.2826,-67.5240,24.7766,-56.1303
0.89167,76.2801,-41.3132,-48.2686,62.5681,87.2271,-67.5236,24.7786,-55.9517
0.89583,76.3631,-41.3724,-48.2557,62.8481,87.2388,-67.5236,24.7760,-55.6407
0.90000,76.4516,-41.3783,-48.2307,62.9406,87.1914,-67.5241,24.7666,-55.4890
0.90417,76.5384,-41.4098,-48.2162,63.2090,87.1843,-67.5238,24.7707,-55.1582
0.90833,76.6327,-41.5178,-48.2354,63.3323,87.1907,-67.5236,24.7669,-55.0553
0.91250,76.7226,-41.5257,-48.1901,63.5444,87.1394,-67.5240,24.7646,-54.7399
0.91667,76.8249,-41.6203,-48.1863,63.6136,87.1405,-67.5241,24.7547,-54.6479
0.92083,76.9089,-41.6385,-48.1393,63.7949,87.1058,-67.5242,24.7495,-54.3993
0.92500,77.0454,-41.8708,-48.1001,63.9263,87.0567,-67.5247,24.7488,-54.2580
0.92917,77.1248,-41.8970,-48.0445,64.0343,87.0191,-67.5250,24.7320,-54.0160
0.93333,77.1895,-41.9026,-48.0073,64.1828,87.0030,-67.5250,24.7282,-53.8094
0.93750,77.2310,-42.0001,-48.0090,64.2976,87.0200,-67.5248,24.7172,-53.6923
0.94167,77.2885,-42.1071,-47.9665,64.3988,87.0025,-67.5257,24.6993,-53.4410
0.94583,77.3546,-42.1586,-47.9305,64.4979,86.9474,-67.5256,24.6887,-53.2942
0.95000,77.3905,-42.2314,-47.9023,64.5814,86.9467,-67.5260,24.6714,-53.1198
0.95417,77.4179,-42.3467,-47.8751,64.6893,86.9274,-67.5260,24.6513,-52.9423
0.95833,77.4565,-42.3601,-47.8175,64.7353,86.9000,-67.5264,24.6248,-52.8109
0.96250,77.4767,-42.4110,-47.7963,64.8188,86.9085,-67.5267,24.5951,-52.6406
0.96667,77.4585,-42.5953,-47.7843,64.8860,86.9152,-67.5270,24.5603,-52.4917
0.97083,77.4962,-42.6201,-47.7180,64.9721,86.8866,-67.5273,24.5239,-52.3025
0.97500,77.4749,-42.7665,-47.7104,64.8477,86.9009,-67.5277,24.3988,-52.4226
0.97917,77.5072,-42.7917,-47.6573,64.9804,86.8769,-67.5277,24.3403,-52.2087
0.98333,77.5061,-42.8584,-47.6309,65.1129,86.8772,-67.5282,24.3333,-51.8808
0.98750,77.4747,-43.2246,-47.5238,65.0920,86.7579,-67.5289,24.1618,-51.8203
0.99167,77.5132,-43.2175,-47.4834,65.1632,86.7543,-67.5285,24.0702,-51.7242
0.99583,77.4765,-43.3341,-47.5055,65.1939,86.8006,-67.5293,23.8801,-51.5997
1.00000,77.5162,-43.3553,-47.4599,65.1859,86.7514,-67.5294,23.7098,-51.5203
1.00417,77.5356,-43.4062,-47.4491,65.2717,86.7498,-67.5297,23.6301,-51.2899
1.00833,77.5541,-43.4771,-47.4398,65.2267,86.7429,-67.5303,23.3117,-51.3229
1.01250,77.5371,-43.6556,-47.4406,65.3074,86.7444,-67.5303,23.2303,-51.0974
1.01667,77.5815,-43.6995,-47.3930,65.3176,86.6838,-67.5305,22.9428,-51.0194
1.02083,77.6137,-43.8235,-47.3879,65.3492,86.6773,-67.5309,22.6458,-50.8927
1.02500,77.6184,-43.9954,-47.3836,65.3334,86.6569,-67.5313,22.4523,-50.8092
1.02917,77.6477,-44.1740,-47.3614,65.3772,86.5771,-67.5316,22.1595,-50.7006
1.03333,77.6931,-44.2804,-47.3395,65.3950,86.5285,-67.5319,21.8937,-50.6078
1.03750,77.7691,-44.3135,-47.3163,65.3340,86.4808,-67.5321,21.6292,-50.5609
1.04167,77.8208,-44.3692,-47.3391,65.3293,86.4674,-67.5329,21.3174,-50.3907
1.04583,77.8570,-44.5716,-47.3789,65.4076,86.4805,-67.5331,21.0538,-50.2561
1.05000,77.9259,-44.7103,-47.3687,65.3884,86.4187,-67.5331,20.8056,-50.2044
1.05417,77.9951,-44.8135,-47.3753,65.4062,86.3853,-67.5340,20.4854,-50.0053
1.05833,78.0674,-44.9001,-47.3865,65.3539,86.3644,-67.5336,20.2076,-50.0687
1.06250,78.1497,-44.9312,-47.3849,65.3784,86.3058,-67.5341,19.8732,-49.9027
1.06667,78.2248,-45.1146,-47.4219,65.3569,86.3024,-67.5346,19.5622,-49.8267
1.07083,78.3093,-45.1827,-47.4600,65.3103,86.2874,-67.5348,19.2541,-49.7748
1.07500,78.3877,-45.2500,-47.4884,65.2713,86.2848,-67.5353,18.9071,-49.6674
1.07917,78.4719,-45.3328,-47.5211,65.1434,86.2764,-67.5357,18.4468,-49.7589
1.08333,78.5615,-45.3587,-47.5306,65.1397,86.2232,-67.5361,18.1652,-49.6427
1.08750,78.6564,-45.4912,-47.5995,65.1444,86.2427,-67.5368,17.9483,-49.4748
1.09167,78.7424,-45.5165,-47.6141,65.0754,86.2059,-67.5370,17.5458,-49.4602
1.09583,78.8226,-45.5995,-47.7045,64.8939,86.2514,-67.5377,16.9886,-49.5677
1.10000,78.9195,-45.6793,-47.7635,64.9508,86.2456,-67.5378,16.8089,-49.3578
1.10417,79.0079,-45.7224,-47.7836,64.7275,86.1951,-67.5386,16.1715,-49.5248
1.10833,79.0848,-45.7759,-47.8409,64.7433,86.1887,-67.5392,16.0368,-49.3705
1.11250,79.2608,-45.9130,-47.8762,64.5393,86.1589,-67.5396,15.3573,-49.4822
1.11667,79.3201,-45.9734,-47.9462,64.5471,86.1517,-67.5401,15.1639,-49.3026
1.12083,79.4750,-46.0768,-47.9851,64.3201,86.1121,-67.5406,14.4886,-49.4830
1.12500,78.9536,-46.3659,-47.8632,64.1821,85.8736,-67.5412,14.0312,-49.5006
1.12917,79.5427,-46.3032,-48.0608,64.2241,85.9586,-67.5416,14.0598,-49.2359
1.13333,79.6510,-46.4035,-48.1656,64.0318,85.9674,-67.5423,13.4448,-49.3097
1.13750,79.6671,-46.5366,-48.1984,63.7311,85.9008,-67.5428,12.6170,-49.5903
1.14167,79.5083,-46.9065,-48.1436,63.5616,85.7561,-67.5433,12.1176,-49.6322
1.14583,79.8542,-46.7091,-48.3520,63.5929,85.8327,-67.5438,12.0228,-49.3609
1.15000,79.6410,-47.0038,-48.3627,63.7399,85.6975,-67.5441,12.3012,-48.9644
1.15417,79.8444,-47.0326,-48.4479,65.1131,85.6332,-67.5450,16.3158,-49.4057
1.15833,79.9647,-47.1354,-48.5269,64.9351,85.6068,-67.5454,15.6207,-49.5577
1.16250,79.8474,-47.4168,-48.5278,64.9739,85.4664,-67.5460,15.6894,-49.4738
1.16667,82.7909,-45.4999,-46.6021,64.7191,85.3881,-67.5467,14.9613,-49.7348
1.17083,82.8731,-45.5691,-46.6134,64.5733,85.3120,-67.5474,14.2891,-49.8799
1.17500,83.0575,-45.6854,-46.5681,64.6375,85.2133,-67.5476,14.4986,-49.6962
