trial,var,name,SFC,MER,BR,min,max
set_017,6,Var 6: Shoulder horizontal abduction (R),-0.14562598163007087,31.845579193704186,-31.051683837556045,-36.40535584185152,34.422836396757255
set_017,7,Var 7: Shoulder long-axis rotation (R),-0.1456243584066779,24.322709094462223,-20.68294437490044,-23.6717795943981,24.322709094462223
set_017,8,Var 8: Elbow flexion (R),63.26948505610209,154.1129018021802,115.93202570466329,49.7365947503312,154.1183390340683
set_018,1,Var 1: Lead knee flexion (L),8.899869014102958,7.727343693203069,8.382265278500906,3.4288686382882347,92.0799200942693
set_018,2,Var 2: Trunk forward tilt,-9.278297126741064,-4.99106591503319,-3.551062845111191,-29.594439700979805,7.934787753396176
set_018,3,Var 3: Trunk lateral tilt,-5.4375673720091,-4.8898308850170205,-6.773545945000686,-27.5660030297663,13.767169619982955
set_018,4,Var 4: Trunk axial rotation,-12.240782504347852,-15.265706876495772,-15.070220970660678,-34.02587609767612,9.956665022419102
set_018,5,Var 5: Shoulder abduction (R),23.71863044952913,19.762250833702023,18.08732234619763,-8.818874313038167,66.12384200825679
set_018,6,Var 6: Shoulder horizontal abduction (R),-3.0660652336483913,-0.8234561835700341,-0.47309046375417885,-38.33138721440053,27.2015053874811
set_018,7,Var 7: Shoulder long-axis rotation (R),-2.8068633894681208,-0.7749546449197182,-0.4497119460699679,-23.150612490283333,19.984948143128054
set_018,8,Var 8: Elbow flexion (R),111.13115762008346,121.2395379553484,121.84845246348787,48.78518271855791,154.8685205077274
set_019,1,Var 1: Lead knee flexion (L),9.752909431658983,13.381540233671805,13.473068818334273,2.747343383701058,83.78720148272559
set_019,2,Var 2: Trunk forward tilt,-7.521420127598408,6.442352039733074,6.72929984164235,-31.786912662079953,9.158398258884459
set_019,3,Var 3: Trunk lateral tilt,-4.25649113077608,7.327867965272034,7.199614679270975,-27.85949428368745,11.769818965216578
set_019,4,Var 4: Trunk axial rotation,-15.432035245593346,-24.431933499715054,-24.587861693086854,-31.548996007493255,12.521863039605682
set_019,5,Var 5: Shoulder abduction (R),28.296921214870842,22.270250707159583,21.840086458598012,-0.9764944283839291,66.84029212656799
set_019,6,Var 6: Shoulder horizontal abduction (R),-3.4730480320246953,0.12217399612310079,0.17081440031909473,-27.50443257375215,24.795904599762274
set_019,7,Var 7: Shoulder long-axis rotation (R),-3.0576073272948068,0.11306061201855198,0.15855429671570487,-21.258429924728357,23.78588435447866
set_019,8,Var 8: Elbow flexion (R),92.98671769377468,68.05987878683855,67.29871055070609,52.93995543494308,157.1438536171851
