time,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8,opensim_var1,opensim_var2,opensim_var3,opensim_var5,opensim_var4,opensim_var6,opensim_var7,opensim_var8,cardA_var1,cardA_var2,cardA_var3,cardA_var5,cardA_var4,cardA_var6,cardA_var7,cardA_var8,cardB_var1,cardB_var2,cardB_var3,cardB_var5,cardB_var4,cardB_var6,cardB_var7,cardB_var8
0.20000,38.222,-0.396,22.657,104.408,10.199,79.075,11.773,-2.729,59.948,-30.913,-47.303,74.176,58.195,-65.163,21.177,-68.906,156.185,-180.000,5.491,-16.514,15.053,1.650,7.348,-2.916,156.185,-180.000,5.491,-16.514,12.623,1.650,7.348,-2.916
0.20417,38.102,-0.349,22.660,104.532,10.055,79.102,11.747,-2.720,59.962,-30.985,-47.344,74.232,58.118,-65.192,21.138,-68.922,156.175,180.000,5.510,-16.580,14.933,1.676,7.352,-2.974,156.175,180.000,5.510,-16.580,12.510,1.676,7.352,-2.974
0.20833,37.984,-0.298,22.662,104.658,9.921,79.128,11.721,-2.710,60.326,-30.902,-47.425,74.391,58.072,-65.200,21.108,-68.916,156.166,180.000,5.531,-16.639,14.817,1.705,7.355,-3.028,156.166,180.000,5.531,-16.639,12.402,1.705,7.355,-3.028
0.21250,37.869,-0.244,22.663,104.786,9.798,79.154,11.693,-2.701,60.539,-31.055,-47.437,74.462,58.027,-65.234,21.103,-68.912,156.159,180.000,5.556,-16.691,14.710,1.734,7.356,-3.077,156.159,180.000,5.556,-16.691,12.302,1.734,7.356,-3.077
0.21667,37.757,-0.187,22.662,104.917,9.688,79.180,11.665,-2.691,60.457,-30.950,-47.559,74.599,57.995,-65.269,21.080,-68.890,156.153,-180.000,5.585,-16.738,14.611,1.764,7.356,-3.119,156.153,-180.000,5.585,-16.738,12.211,1.764,7.356,-3.119
0.22083,37.648,-0.127,22.660,105.050,9.590,79.207,11.636,-2.682,60.823,-30.954,-47.585,74.707,57.936,-65.291,21.074,-68.907,156.149,-180.000,5.617,-16.780,14.525,1.794,7.354,-3.155,156.149,-180.000,5.617,-16.780,12.131,1.794,7.354,-3.155
0.22500,37.542,-0.064,22.657,105.185,9.507,79.234,11.606,-2.672,61.029,-30.994,-47.641,74.812,57.899,-65.323,21.081,-68.895,156.147,-180.000,5.651,-16.817,14.450,1.823,7.350,-3.185,156.147,-180.000,5.651,-16.817,12.063,1.823,7.350,-3.185
0.22917,37.439,0.001,22.652,105.322,9.437,79.262,11.575,-2.663,61.068,-31.000,-47.708,74.938,57.870,-65.356,21.075,-68.897,156.146,180.000,5.689,-16.851,14.390,1.849,7.344,-3.207,156.146,180.000,5.689,-16.851,12.007,1.849,7.344,-3.207
0.23333,37.339,0.069,22.646,105.461,9.380,79.290,11.542,-2.654,61.316,-30.929,-47.801,75.116,57.846,-65.372,21.084,-68.881,156.147,-180.000,5.730,-16.882,14.343,1.873,7.337,-3.223,156.147,-180.000,5.730,-16.882,11.965,1.873,7.337,-3.223
0.23750,37.242,0.139,22.639,105.602,9.335,79.321,11.509,-2.644,61.444,-31.050,-47.832,75.213,57.818,-65.395,21.093,-68.890,156.148,180.000,5.772,-16.911,14.311,1.893,7.326,-3.233,156.148,180.000,5.772,-16.911,11.936,1.893,7.326,-3.233
